Br,C,Cl,F,H,N,O,S
0,17,0,0,20,4,2,1
0,17,0,0,20,4,2,1
0,17,0,0,20,4,2,1
0,17,0,0,20,4,2,1
0,14,0,0,22,4,3,1
0,14,0,0,22,4,3,1
0,14,0,0,22,4,3,1
0,14,0,0,22,4,3,1
0,12,0,0,16,4,2,1
0,12,0,0,16,4,2,1
0,13,0,0,18,4,2,1
0,13,0,0,18,4,2,1
0,13,0,0,18,4,2,1
0,13,0,0,18,4,2,1
0,12,0,0,16,4,3,1
0,20,0,0,26,2,3,0
0,20,0,0,26,2,3,0
0,20,0,0,26,2,3,0
0,20,0,0,26,2,3,0
0,20,0,0,26,2,3,0
0,20,0,0,26,2,3,0
0,20,0,0,26,2,3,0
0,20,0,0,26,2,3,0
0,20,0,0,26,2,3,0
0,20,0,0,26,2,3,0
0,20,0,0,26,2,3,0
0,20,0,0,26,2,3,0
0,20,0,0,26,2,3,0
0,20,0,0,26,2,3,0
0,20,0,0,26,2,3,0
0,20,0,0,26,2,3,0
0,20,0,0,26,2,3,0
0,20,0,0,26,2,3,0
1,11,0,0,11,4,2,0
1,11,0,0,11,4,2,0
1,11,0,0,11,4,2,0
0,14,0,0,12,4,2,0
0,14,0,0,12,4,2,0
0,14,0,0,12,4,2,0
0,14,0,0,14,2,3,0
0,14,0,0,14,2,3,0
1,14,0,0,13,2,2,0
1,14,0,0,13,2,2,0
1,14,0,0,13,2,2,0
1,14,0,0,13,2,2,0
0,21,0,0,18,2,2,0
0,21,0,0,18,2,2,0
0,21,0,0,18,2,2,0
0,18,0,0,24,4,2,0
0,18,0,0,24,4,2,0
0,18,0,0,24,4,2,0
0,18,0,0,24,4,2,0
0,19,0,0,30,4,1,0
0,19,0,0,30,4,1,0
0,19,0,0,30,4,1,0
0,19,0,0,30,4,1,0
0,19,0,0,30,4,1,0
0,17,0,0,20,2,3,1
0,17,0,0,20,2,3,1
0,17,0,0,20,2,3,1
0,17,0,0,20,2,3,1
0,17,0,0,20,2,3,1
0,17,0,0,20,2,3,1
0,13,0,0,13,3,2,1
0,18,0,0,21,3,3,0
0,18,0,0,21,3,3,0
0,18,0,0,21,3,3,0
0,18,0,0,21,3,3,0
0,18,0,0,21,3,3,0
0,18,0,0,21,3,3,0
0,18,0,0,21,3,3,0
0,18,0,0,21,3,3,0
0,18,0,0,21,3,3,0
0,18,0,0,21,3,3,0
0,16,0,0,24,2,3,0
0,16,0,0,24,2,3,0
0,16,0,0,24,2,3,0
0,16,0,0,24,2,3,0
0,16,0,0,24,2,3,0
0,16,0,0,24,2,3,0
0,16,0,0,24,2,3,0
0,16,0,0,24,2,3,0
0,16,0,0,24,2,3,0
0,16,0,0,24,2,3,0
0,14,0,0,18,2,3,0
0,14,0,0,18,2,3,0
0,14,0,0,18,2,3,0
0,14,0,0,18,2,3,0
0,14,0,0,18,2,3,0
0,14,0,0,18,2,3,0
0,16,0,0,18,2,4,0
0,16,0,0,18,2,4,0
0,16,0,0,18,2,4,0
0,16,0,0,18,2,4,0
0,16,0,0,18,2,4,0
0,16,0,0,18,2,4,0
0,15,0,0,20,2,4,0
0,15,0,0,20,2,4,0
0,15,0,0,20,2,4,0
0,15,0,0,20,2,4,0
0,15,0,0,20,2,4,0
0,15,0,0,20,2,4,0
0,15,0,0,20,2,4,0
0,15,0,0,20,2,4,0
0,15,0,0,20,2,4,0
0,14,0,0,20,2,3,0
0,14,0,0,20,2,3,0
0,14,0,0,20,2,3,0
0,14,0,0,20,2,3,0
0,14,0,0,20,2,3,0
0,17,0,0,26,2,3,0
0,17,0,0,26,2,3,0
0,17,0,0,26,2,3,0
0,17,0,0,26,2,3,0
0,17,0,0,26,2,3,0
0,17,0,0,26,2,3,0
0,17,0,0,26,2,3,0
